base;titulo.x;ano.x;autores;desc_1;desc_2;link_de_acesso;link;titulo.y;temas;ano.y;local_defesa;instituicao;parser_usado;motivo_na
BDTD;Desinformação gerada por inteligência artificial: abordagens teóricas para estratégias de mitigação;2024;Santos, Patrick Renilton Amorim dos;x;NA;https://bdtd.ibict.br/vufind/Record/UCB_456a2c854311daeb0c5fc30a50a78510;https://bdtd.ibict.br/vufind/Record/UCB_456a2c854311daeb0c5fc30a50a78510;Desinformação gerada por inteligência artificial: abordagens teóricas para estratégias de mitigação;;NA;NA;;bdtd_vufind;NA
BDTD;Ensino de ciências: A utilização da Inteligência Artificial e de metodologias ativas para promover o desenvolvimento do pensamento científico;2025;Silva, Samira Andrade da;x;NA;https://bdtd.ibict.br/vufind/Record/USP_d2393143e54ceb647b5406f61d1bca06;https://bdtd.ibict.br/vufind/Record/USP_d2393143e54ceb647b5406f61d1bca06;Ensino de ciências: A utilização da Inteligência Artificial e de metodologias ativas para promover o desenvolvimento do pensamento científico;;NA;NA;;bdtd_vufind;NA
BDTD;Aproximações possíveis (e necessárias) entre Inteligência Artificial e escola;2024;Zylbersztajn, Moisés;x;NA;https://bdtd.ibict.br/vufind/Record/PUC_SP-1_2362f8a4af7df07ddb4bd74bbe2f4085;https://bdtd.ibict.br/vufind/Record/PUC_SP-1_2362f8a4af7df07ddb4bd74bbe2f4085;Aproximações possíveis (e necessárias) entre Inteligência Artificial e escola;;NA;NA;;bdtd_vufind;NA
BDTD;A teoria crítica frankfurtiana, Freud e a educação;2023;Bessa, Márcia Cristina Fernandes Pereira;x;NA;https://bdtd.ibict.br/vufind/Record/PUC_GO_38fb79ceff8fd12228e629b8311aa6e7;https://bdtd.ibict.br/vufind/Record/PUC_GO_38fb79ceff8fd12228e629b8311aa6e7;A teoria crítica frankfurtiana, Freud e a educação;;NA;NA;;bdtd_vufind;NA
BDTD;A integração das tecnologias digitais às salas de aula: características e enquadramento a partir da teoria crítica;2022;Santos, Fabiano Pereira dos;x;NA;https://bdtd.ibict.br/vufind/Record/UFAM_987bf729c00ce34c6f0d250ce6780c80;https://bdtd.ibict.br/vufind/Record/UFAM_987bf729c00ce34c6f0d250ce6780c80;A integração das tecnologias digitais às salas de aula: características e enquadramento a partir da teoria crítica;;NA;NA;;bdtd_vufind;NA
BDTD;Alfabetização e tecnologia: uma análise na perspectiva da Pedagogia Histórico-Crítica;2020;Darius, Rebeca Pizza Pancotte;x;NA;https://bdtd.ibict.br/vufind/Record/UNSP_db4084978b45d45be4fd1b132207daa4;https://bdtd.ibict.br/vufind/Record/UNSP_db4084978b45d45be4fd1b132207daa4;Alfabetização e tecnologia: uma análise na perspectiva da Pedagogia Histórico-Crítica;;NA;NA;;bdtd_vufind;NA
BDTD;Formação humana e racionalidade instrumental à luz da teoria crítica da escola de Frankfurt;2020;Terra, Welma Alegna;x;NA;https://bdtd.ibict.br/vufind/Record/UFG-2_bdae9620122874fe874f985e64f4129f;https://bdtd.ibict.br/vufind/Record/UFG-2_bdae9620122874fe874f985e64f4129f;Formação humana e racionalidade instrumental à luz da teoria crítica da escola de Frankfurt;;NA;NA;;bdtd_vufind;NA
CAPES;Inteligência artificial, educação e pensamento complexo: caminhos para religação de saberes;2022;PRISCILA CARLA SORRILHA GONSALES;x;NA;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13459428;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13459428;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;Avaliação de Atributos de Dependabilidade e Sustentabilidade em Sistemas de Refrigeração de Data Centers;2023;LUBNNIA MORAIS FLORENCIO DE SOUZA;NA;x;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13062696;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13062696;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;OS IMPACTOS SOCIAIS NEGATIVOS DA INTELIGÊNCIA ARTIFICIAL E RECOMENDAÇÕES DE MITIGAÇÃO: UM ESTUDO EXPLORATÓRIO;2023;VANESSA MARQUES PAES;NA;x;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13874727;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13874727;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;PERFORMANCE AND ENERGY EFFICIENCY ANALYSIS OF MACHINE LEARNING ALGORITHMS TOWARDS GREEN AI: A CASE STUDY OF DECISION TREE ALGORITHMS;2021;GABRIELI DUTRA SILVA;NA;x;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10976832;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=10976832;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;Redes neurais artificiais adaptativas: abordagem evolutiva para melhoria de performance e eficiência;2023;TALES LIMA FONSECA;NA;x;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14124041;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14124041;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;REVOLUÇÃO DIGITAL NAS OPERAÇÕES DE DESMONTE DE ROCHAS;2023;VITOR FONSECA DE BARCELOS;NA;x;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14232035;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14232035;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;Strategies for operating and sizing low-carbon cloud data centers;2023;MIGUEL FELIPE SILVA VASCONCELOS;NA;x;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14841174;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14841174;Plataforma Sucupira;;NA;ização geográfica tem uma capacidade diferente de geração de energia renovável;;sucupira_legado;NA
CAPES;AUMENTO DA EFICIÊNCIA ENERGÉTICA DE PEQUENOS E MÉDIOS DATA CENTERS BASEADO EM MODELO OPENSOURCE DE BAIXO CUSTO;2023;ALEXANDRE BARBOSA DE SOUZA;NA;x;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14802861;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14802861;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;A INTELIGÊNCIA ARTIFICIAL E SEU IMPACTO NO COTIDIANO: OS DESAFIOS DA REGULAMENTAÇÃO NO BRASIL;2023;LUCAS RABELLO CARTOLARI;NA;x;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14357652;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14357652;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;ECONOMIA CIRCULAR NA INDÚSTRIA DE MINERAÇÃO: barreiras para difusão da inovação ambiental;2020;RAISSA HELENA PAIVA APOLINARIO;NA;x;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9283234;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=9283234;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;A Inteligência Artificial e a Educação: uma investigação sobre como docentes percebem a IA e suas potenciais consequências educativas.;2023;RICARDO LIMA PRACIANO DE SOUSA;x;NA;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12918383;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=12918383;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;IDENTIFICAÇÃO DE FALÁCIAS LÓGICAS FORTALECENDO O PENSAMENTO CRÍTICO PARA O CONTEXTO EDUCACIONAL;2023;IVAN MARTINS SANTANA;x;NA;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14957447;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14957447;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
CAPES;A TEORIA CRÍTICA FRANKFURTIANA, FREUD E A EDUCAÇÃO;2023;MARCIA CRISTINA FERNANDES PEREIRA BESSA;x;NA;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13807408;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=13807408;Plataforma Sucupira;;NA;Storage;;sucupira_legado;NA
PROQUEST;Evaluation Education in a World in Transformation: The Way Forward;2023;Joppert, Marcia;x;NA;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:88042514;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:88042514;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Lack of Awareness of the Environmental Impacts of Artificial Intelligence;2024;Smith, Shaina;x;NA;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:121114563;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:121114563;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Carbon Accounting for Sustainable Computing in Cloud Provisioned Data Centers;2023;McMillan, Khaalid;NA;x;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:84552731;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:84552731;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;The Hidden Human and Environmental Costs of the Digital Growth Machine;2023;Bridges, Lauren;NA;x;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:85221505;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:85221505;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Low Resolution .JPGs and Collaborative Networks: Dreaming a Sustainable Digital Archive;2022;Wilson, Imogen G.;NA;x;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:68304083;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:68304083;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Computer Capitalism: Labor, Health, and Environment in the US Computer Industry;2025;Quinn, Adam;NA;x;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:160321596;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:160321596;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Datascapes: Envisioning a New Kind of Data Center;2020;Pfeiffer, Jessica;NA;x;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:67812757;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:67812757;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Improving Carbon, Cost, and Energy Efficiency of Large Scale Systems via Workload Analysis;2022;Everman, Bradford W.;NA;x;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:103076203;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:103076203;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Mitigating Cloud Computing Emissions at the National Level: Policy Responses and Carbon Accounting Methods for Carbon-Efficient Cloud Infrastructure Governance;2025;Soares, Ian Varela;NA;x;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:161219081;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:161219081;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Evaluation Education in a World in Transformation: The Way Forward;2023;Joppert, Marcia;x;NA;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:88042514;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:88042514;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Machine Learning and Critical Thinking: Applying Machine Learning Algorithms to the Scoring of the Critical Thinking Assessment Test (CAT);2020;Shanks, Kyle Wayne;x;NA;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:67820433;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:67820433;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;The Theory and Practice of Critical Experiential Pedagogy: Enacting a Critical Experiential Education;2023;Thomas, Colleen A.;x;NA;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:85146723;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:85146723;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Parallel Minds: A Thematic Literature Review of Artificial Intelligence in Education;2024;Fanning, Sydney;x;NA;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:122834947;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:122834947;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Inside Ai: How Artificial Intelligence is Concentrating Power;2024;Kalluri, Pratyusha Ria;NA;x;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:121106503;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:121106503;Web of Science;;NA;NA;;wos_proxy;NA
PROQUEST;Learning to Teach with Technology: Interest Convergence, Identity, and Designing for Novice Teacher Critical Technology Literacy;2020;Gravell, Jamie Dara;x;NA;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:66834396;https://www-webofscience-com.ez87.periodicos.capes.gov.br/wos/pqdt/full-record/PQDT:66834396;Web of Science;;NA;NA;;wos_proxy;NA
